dtReference,idVendedor,avgFotos,avgVolumeProduto,MinimoVolumeProduto,MaximoVolumeProduto,pct_cama_mesa_banho,pct_beleza_saude,pct_esporte_lazer,pct_informatica_acessorios,pct_moveis_decoracao,pct_utilidades_domesticas,pct_relogios_presentes,pct_telefonia,pct_automotivo,pct_brinquedos,pct_cool_stuff,pct_ferramentas_jardim,pct_perfumaria,pct_bebes,pct_eletronicos
2018-01-01,0015a82c2db000af6aaaf3ae2ecb0532,2.0,61920.0,61920.0,61920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,001cca7ae9ae17fb1caed9dfb1094831,1.75,21437.25,19656.0,24640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0
2018-01-01,002100f778ceb8431b7a1020ff7ab48f,1.0,8499.2,4096.0,9600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,003554e2dce176b5555353e4f3555ac8,0.0,21000.0,21000.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,004c9cd9d87a3c30c522c48c4fc07416,0.9111111111111111,21858.51111111111,4176.0,136958.0,0.9111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,00ee68308b45bc5e2660cd833c3f81cc,1.25,45210.666666666664,4536.0,70000.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,010543a62bd80aa422851e79a3bc7540,6.0,5940.0,5940.0,5940.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,013900e863eace745d3ec7614cab5b1a,3.7,4491.0,2304.0,15660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2018-01-01,014c0679dd340a0e338872e7ec85666a,3.0,73228.0,8184.0,187500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
2018-01-01,014d9a685fd57276679edd00e07089e5,1.0,2992.0,2992.0,2992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0176f73cc1195f367f7b32db1e5b3aa8,1.0,58050.0,48600.0,67500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,01bcc9d254a0143f0ce9791b960b2a47,3.0,6252.0,3120.0,9384.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,01c97ebb5cdac52891c0ed1c37ba0012,3.0,3069.0,3069.0,3069.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,01cf7e3d21494c41fb86034f2e714fa1,1.1111111111111112,54945.666666666664,1584.0,285138.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
2018-01-01,01ed254b9ff8407dfb9d99ba1e17d923,3.0,3201.0,3042.0,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,01fdefa7697d26ad920e9e0346d4bd1b,3.6923076923076925,11113.538461538461,2800.0,78000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0241d4d5d36f10f80c644447315af0bd,1.0,10233.333333333334,2400.0,40000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0249d282d911d23cb8b869ab49c99f53,1.5,9375.0,9375.0,9375.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
