dtReference,idVendedor,pctPedidoAtraso,pctPedidoCancelado,avgFrete,maxFrete,minFrete,mediaDiasEntrega,qtdDiasEntregaPromessa
2018-01-01,0015a82c2db000af6aaaf3ae2ecb0532,0.0,0.0,21.02,21.02,21.02,0.0,0.0
2018-01-01,001cca7ae9ae17fb1caed9dfb1094831,0.07142857142857142,0.0,46.68602040816323,143.8,20.27,0.07142857142857142,0.030612244897959183
2018-01-01,002100f778ceb8431b7a1020ff7ab48f,0.15789473684210525,0.0,15.605897435897445,34.15,4.91,0.20512820512820512,0.15384615384615385
2018-01-01,003554e2dce176b5555353e4f3555ac8,0.0,0.0,19.38,19.38,19.38,0.0,1.0
2018-01-01,004c9cd9d87a3c30c522c48c4fc07416,0.05952380952380952,0.0,21.820357142857155,94.94,12.33,0.047619047619047616,0.09523809523809523
2018-01-01,00ee68308b45bc5e2660cd833c3f81cc,0.024390243902439025,0.0,22.9780487804878,98.02,8.96,0.12195121951219512,0.14634146341463414
2018-01-01,010543a62bd80aa422851e79a3bc7540,0.0,0.0,15.975000000000001,18.71,13.24,0.0,0.0
2018-01-01,013900e863eace745d3ec7614cab5b1a,0.0,0.0,25.99375,47.46,16.16,0.25,0.25
2018-01-01,014c0679dd340a0e338872e7ec85666a,0.0,0.0,55.10333333333333,93.35,21.72,0.3333333333333333,0.0
2018-01-01,014d9a685fd57276679edd00e07089e5,0.0,0.0,2.66,2.66,2.66,0.0,0.0
2018-01-01,0176f73cc1195f367f7b32db1e5b3aa8,0.0,0.0,48.82,62.07,34.6,0.0,0.0
2018-01-01,01bcc9d254a0143f0ce9791b960b2a47,0.0,0.0,25.045555555555556,36.43,14.26,0.1111111111111111,-0.1111111111111111
2018-01-01,01c97ebb5cdac52891c0ed1c37ba0012,0.0,0.0,18.06,25.38,12.69,0.0,0.0
2018-01-01,01cf7e3d21494c41fb86034f2e714fa1,0.05263157894736842,0.0,35.3321052631579,117.35,15.39,0.0,0.0
2018-01-01,01ed254b9ff8407dfb9d99ba1e17d923,0.0,0.0,13.544,17.12,10.57,0.0,0.0
2018-01-01,01fdefa7697d26ad920e9e0346d4bd1b,0.03636363636363636,0.0,21.631250000000012,62.08,13.43,0.10714285714285714,0.16071428571428573
2018-01-01,0241d4d5d36f10f80c644447315af0bd,0.04,0.0,20.758400000000005,54.4,15.11,0.04,0.32
